activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,105351,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1C2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '16.99', 'le': '0.36', 'lle': '0.55', 'sei': '20.10'}",CHEMBL322923,,CHEMBL322923,5.29,1,http://www.openphacts.org/units/Nanomolar,334536,=,1,1,=,,IC50,nM,,5160.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,5160.0
,105826,[],CHEMBL808141,Binding affinity towards serotonin transporter (SERT) by using [3H]paroxetine as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '29.86', 'le': '0.55', 'lle': '5.48', 'sei': '30.26'}",CHEMBL435341,,CHEMBL435341,8.94,0,http://www.openphacts.org/units/Nanomolar,342397,=,1,1,=,,IC50,nM,,1.15,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,1.15
,106988,[],CHEMBL873260,Binding affinity towards serotonin transporter (SERT),B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '21.74', 'le': '0.57', 'lle': '5.35', 'sei': '28.36'}",CHEMBL311347,,CHEMBL311347,8.38,1,http://www.openphacts.org/units/Nanomolar,342388,=,1,1,=,,IC50,nM,,4.2,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,4.2
,108742,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(C2)CC1c1ccc(Cl)c(Cl)c1,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '23.87', 'le': '0.51', 'lle': '2.79', 'sei': '28.43'}",CHEMBL100941,,CHEMBL100941,7.48,0,http://www.openphacts.org/units/Nanomolar,334548,=,1,1,=,,IC50,nM,,33.4,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,33.4
,111537,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '23.03', 'le': '0.49', 'lle': '3.83', 'sei': '25.59'}",CHEMBL87031,,CHEMBL87031,7.56,1,http://www.openphacts.org/units/Nanomolar,334542,=,1,1,=,,IC50,nM,,27.6,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,27.6
,112956,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '25.97', 'le': '0.56', 'lle': '4.37', 'sei': '23.04'}",CHEMBL316342,,CHEMBL316342,8.19,0,http://www.openphacts.org/units/Nanomolar,334540,=,1,1,=,,IC50,nM,,6.5,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,6.5
,118016,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(C2)CC1c1ccc(Cl)c(Cl)c1,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '21.53', 'le': '0.46', 'lle': '2.05', 'sei': '25.65'}",CHEMBL100941,,CHEMBL100941,6.75,0,http://www.openphacts.org/units/Nanomolar,334545,=,1,1,=,,IC50,nM,,180.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,180.0
,122882,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1O2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '18.23', 'le': '0.39', 'lle': '1.84', 'sei': '16.06'}",CHEMBL169429,,CHEMBL169429,5.71,0,http://www.openphacts.org/units/Nanomolar,334537,=,1,1,=,,IC50,nM,,1960.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,1960.0
,122884,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '26.21', 'le': '0.56', 'lle': '4.87', 'sei': '29.12'}",CHEMBL87031,,CHEMBL87031,8.60,1,http://www.openphacts.org/units/Nanomolar,334541,=,1,1,=,,IC50,nM,,2.5,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,2.5
,124744,[],CHEMBL808141,Binding affinity towards serotonin transporter (SERT) by using [3H]paroxetine as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C=Cc1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '35.25', 'le': '0.65', 'lle': '5.96', 'sei': '32.63'}",CHEMBL367408,,CHEMBL367408,9.49,0,http://www.openphacts.org/units/Nanomolar,342398,=,1,1,=,,IC50,nM,,0.32,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,0.32
,125475,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '18.58', 'le': '0.39', 'lle': '2.27', 'sei': '20.52'}",CHEMBL88915,,CHEMBL88915,6.06,1,http://www.openphacts.org/units/Nanomolar,334539,=,1,1,=,,IC50,nM,,867.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,867.0
,125477,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '26.42', 'le': '0.57', 'lle': '4.51', 'sei': '23.44'}",CHEMBL316342,,CHEMBL316342,8.33,0,http://www.openphacts.org/units/Nanomolar,334547,=,1,1,=,,IC50,nM,,4.7,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,4.7
,136793,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '22.81', 'le': '0.49', 'lle': '3.37', 'sei': '20.24'}",CHEMBL316342,,CHEMBL316342,7.19,0,http://www.openphacts.org/units/Nanomolar,334544,=,1,1,=,,IC50,nM,,64.5,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,64.5
,137216,[],CHEMBL808141,Binding affinity towards serotonin transporter (SERT) by using [3H]paroxetine as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C=C(C)c1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '34.56', 'le': '0.64', 'lle': '5.88', 'sei': '33.66'}",CHEMBL173344,,CHEMBL173344,9.80,0,http://www.openphacts.org/units/Nanomolar,342399,=,1,1,=,,IC50,nM,,0.16,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,0.16
,138609,[],CHEMBL873260,Binding affinity towards serotonin transporter (SERT),B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '25.44', 'le': '0.68', 'lle': '6.75', 'sei': '24.64'}",CHEMBL353333,,CHEMBL353333,9.44,0,http://www.openphacts.org/units/Nanomolar,342390,=,1,1,=,,IC50,nM,,0.36,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,0.36
,139303,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)N2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '28.35', 'le': '0.61', 'lle': '5.52', 'sei': '23.24'}",CHEMBL169471,,CHEMBL169471,8.91,0,http://www.openphacts.org/units/Nanomolar,334546,=,1,1,=,,IC50,nM,,1.24,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,1.24
,139305,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '23.85', 'le': '0.51', 'lle': '3.70', 'sei': '21.16'}",CHEMBL316342,,CHEMBL316342,7.52,0,http://www.openphacts.org/units/Nanomolar,334543,=,1,1,=,,IC50,nM,,30.3,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,30.3
,140823,[],CHEMBL808141,Binding affinity towards serotonin transporter (SERT) by using [3H]paroxetine as radioligand,B,,,BAO_0000190,BAO_0000357,single protein format,C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,,,CHEMBL1136726,J. Med. Chem.,2003.0,"{'bei': '29.68', 'le': '0.55', 'lle': '5.43', 'sei': '30.08'}",CHEMBL173594,,CHEMBL173594,8.89,0,http://www.openphacts.org/units/Nanomolar,342396,=,1,1,=,,IC50,nM,,1.3,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,1.3
,143949,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '21.65', 'le': '0.41', 'lle': '4.70', 'sei': '11.76'}",CHEMBL370805,COCAINE,CHEMBL370805,6.57,0,http://www.openphacts.org/units/Nanomolar,334535,=,1,1,=,,IC50,nM,,270.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,270.0
,144024,[],CHEMBL806861,Inhibition of [3H]citalopram binding to serotonin transporter (SERT) of cynomolgus monkey caudate-putamen,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1O2,,,CHEMBL1132078,Bioorg. Med. Chem. Lett.,1999.0,"{'bei': '18.12', 'le': '0.39', 'lle': '1.80', 'sei': '15.97'}",CHEMBL169429,,CHEMBL169429,5.67,0,http://www.openphacts.org/units/Nanomolar,334538,=,1,1,=,,IC50,nM,,2120.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,2120.0
,350090,[],CHEMBL801199,Binding affinity of [3H]citalopram for serotonin transporter in monkey,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '24.50', 'le': '0.46', 'lle': '4.23', 'sei': '23.01'}",CHEMBL2079586,,CHEMBL2079586,6.80,1,http://www.openphacts.org/units/Nanomolar,106158,=,1,1,=,,IC50,nM,,160.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,160.0
,351480,[],CHEMBL801199,Binding affinity of [3H]citalopram for serotonin transporter in monkey,B,,,BAO_0000190,BAO_0000357,single protein format,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '15.02', 'le': '0.27', 'lle': '0.20', 'sei': '37.03'}",CHEMBL1201203,BENZTROPINE,CHEMBL1201203,4.62,1,http://www.openphacts.org/units/Nanomolar,106161,=,1,1,=,,IC50,nM,,24100.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,24100.0
,356161,[],CHEMBL884710,Inhibition of 5-hydroxytryptamine reuptake,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NS(=O)(=O)c2ccc(-c3ccc(-c4nnc(C)o4)cc3C)cc2)cc1N1CCN(C)CC1,,,CHEMBL1133697,J. Med. Chem.,2000.0,,CHEMBL151894,,CHEMBL151894,,0,http://www.openphacts.org/units/Nanomolar,291830,>,1,1,>,,IC50,nM,,1000.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,1000.0
,357302,[],CHEMBL801199,Binding affinity of [3H]citalopram for serotonin transporter in monkey,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)C1C2CC[C@H](C[C@H]1OC(c1ccc(F)cc1)c1ccc(F)cc1)N2C,,,CHEMBL1127828,J. Med. Chem.,1994.0,"{'bei': '13.42', 'le': '0.25', 'lle': '1.29', 'sei': '13.90'}",CHEMBL607377,,CHEMBL607377,5.39,0,http://www.openphacts.org/units/Nanomolar,106157,=,1,1,=,,IC50,nM,,4087.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,4087.0
,360308,[],CHEMBL884710,Inhibition of 5-hydroxytryptamine reuptake,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(NC(=O)c2ccc(-c3ccc(C(N)=O)cc3C)cc2)cc1N1CCN(C)CC1,,,CHEMBL1133697,J. Med. Chem.,2000.0,,CHEMBL147071,,CHEMBL147071,,0,http://www.openphacts.org/units/Nanomolar,291835,>,1,1,>,,IC50,nM,,1000.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,1000.0
,360316,[],CHEMBL884710,Inhibition of 5-hydroxytryptamine reuptake,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1nnc(-c2ccc(-c3ccc(C(=O)Nc4ccc(O)c(N5CCN(C)CC5)c4)cc3)c(C)c2)o1,,,CHEMBL1133697,J. Med. Chem.,2000.0,"{'bei': '11.02', 'le': '0.20', 'lle': '0.60', 'sei': '5.62'}",CHEMBL359447,,CHEMBL359447,5.33,0,http://www.openphacts.org/units/Nanomolar,291828,=,1,1,=,,IC50,nM,,4700.0,CHEMBL228,Homo sapiens,Serotonin transporter,9606,,,IC50,nM,UO_0000065,,4700.0
