molecule_chembl_id,canonical_smiles,compound_classification,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL435341,C/C=C\c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,active,299.414,3.4590000000000023,0.0,3.0,8.939302159646388
CHEMBL311347,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,active,385.245,3.0305000000000017,0.0,3.0,8.3767507096021
CHEMBL100941,COC(=O)C1C2CCC(C2)CC1c1ccc(Cl)c(Cl)c1,active,313.22400000000005,4.686200000000004,0.0,2.0,7.476253533188435
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,328.2390000000001,3.732700000000003,0.0,3.0,7.559090917934782
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,active,315.196,3.8175000000000026,0.0,3.0,8.187086643357144
CHEMBL100941,COC(=O)C1C2CCC(C2)CC1c1ccc(Cl)c(Cl)c1,active,313.22400000000005,4.686200000000004,0.0,2.0,6.7447274948966935
CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,328.2390000000001,3.732700000000003,0.0,3.0,8.602059991327963
CHEMBL367408,C=Cc1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,active,269.388,3.5328000000000017,1.0,2.0,9.494850021680094
CHEMBL88915,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,326.22300000000007,3.786500000000003,0.0,3.0,6.06198090252379
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,active,315.196,3.8175000000000026,0.0,3.0,8.327902142064282
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,active,315.196,3.8175000000000026,0.0,3.0,7.1904402853647325
CHEMBL173344,C=C(C)c1ccc([C@H]2CC3CCC(N3)[C@H]2C(=O)CC)cc1,active,283.41499999999996,3.922900000000003,1.0,2.0,9.795880017344075
CHEMBL353333,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,active,371.21799999999996,2.6883,1.0,3.0,9.443697499232712
CHEMBL169471,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)N2,active,314.212,3.390500000000001,1.0,3.0,8.906578314837764
CHEMBL316342,COC(=O)C1C2CCC(CC1c1ccc(Cl)c(Cl)c1)O2,active,315.196,3.8175000000000026,0.0,3.0,7.518557371497695
CHEMBL173594,C/C=C/c1ccc([C@H]2CC3CCC([C@H]2C(=O)OC)N3C)cc1,active,299.414,3.4590000000000023,0.0,3.0,8.886056647693163
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.568636235841013
CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,active,277.33899999999994,2.5650000000000004,0.0,3.0,6.795880017344075
CHEMBL1201203,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2,inactive,307.43700000000007,4.417800000000004,0.0,2.0,4.617982957425132
CHEMBL151894,COc1ccc(NS(=O)(=O)c2ccc(-c3ccc(-c4nnc(C)o4)cc3C)cc2)cc1N1CCN(C)CC1,active,533.6540000000002,4.581640000000004,1.0,8.0,6.0
CHEMBL147071,COc1ccc(NC(=O)c2ccc(-c3ccc(C(N)=O)cc3C)cc2)cc1N1CCN(C)CC1,active,458.5620000000003,3.773620000000003,2.0,5.0,6.0
CHEMBL151420,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc(OCCF)c(N5CCN(C)CC5)c4)cc3)c(C)c2)no1,active,529.6160000000003,5.3728400000000045,1.0,7.0,6.045757490560675
CHEMBL151695,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc(OS(=O)(=O)C(F)(F)F)c(N5CCN(C)CC5)c4)cc3)c(C)c2)no1,active,615.6340000000002,5.252940000000005,1.0,9.0,6.0
CHEMBL147503,COc1ccc(NC(=O)c2ccc(-c3ccc(C(=N)N)cc3C)cc2)cc1N1CCN(C)CC1,active,457.5780000000003,3.958790000000003,3.0,5.0,6.39040559077478
CHEMBL146735,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4nnc(C)o4)cc3C)cc2)cc1N1CCN(C)CC1,active,497.5990000000004,5.033140000000005,1.0,7.0,6.0
CHEMBL15928,COc1ccc(NC(=O)c2ccc(-c3ccc(-c4noc(C)n4)cc3C)cc2)cc1N1CCN(C)CC1,active,497.5990000000004,5.033140000000005,1.0,7.0,6.0
CHEMBL422504,Cc1nc(-c2ccc(-c3ccc(C(=O)Nc4ccc(O)c(N5CCN(C)CC5)c4)cc3)c(C)c2)no1,active,483.5720000000003,4.730140000000003,2.0,7.0,6.0
CHEMBL300226,COC(=O)C1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,active,385.245,3.0305000000000017,0.0,3.0,8.596879478824182
CHEMBL544370,Cl.OC1(c2ccc3c(c2)OCO3)c2ccccc2C2=NCCCN21,active,344.7980000000002,2.4964000000000004,1.0,5.0,7.080921907623926
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.471083299722345
CHEMBL336100,OC1(c2ccc(Cl)cc2)c2cccc(F)c2C2=NCCN21,active,302.73600000000005,2.7483000000000013,1.0,3.0,6.889410289700751
CHEMBL544216,CN1CCC(CCc2cn(C)c3ccccc23)CC1.Cl,active,292.854,3.8745000000000034,0.0,2.0,6.0
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,active,284.74600000000004,2.6092000000000004,1.0,3.0,7.026872146400302
CHEMBL284004,CN1CCC(CCc2c[nH]c3ccccc23)CC1,active,242.36599999999999,3.442300000000002,1.0,1.0,6.0
CHEMBL67024,Fc1ccc(CCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,432.58300000000014,5.228400000000006,1.0,3.0,6.327902142064283
CHEMBL130668,Oc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,active,280.32699999999994,2.0515,2.0,4.0,7.221848749616356
CHEMBL443797,CN(CCCc1ccccc1)C1CCN(CCOC(c2ccccc2)c2ccccc2)CC1,active,442.6470000000001,5.821600000000006,0.0,3.0,6.508638306165727
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.468521082957745
CHEMBL278080,Fc1ccc2[nH]cc(CC3CCNCC3)c2c1,active,232.30199999999996,2.849100000000001,2.0,1.0,6.769551078621726
CHEMBL421867,c1ccc(CCCNC2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,active,428.6200000000001,5.479400000000005,1.0,3.0,6.4089353929735005
CHEMBL336940,COc1cccc2c1C1=NCCN1C2(O)c1ccc(Cl)cc1,active,314.77199999999993,2.617800000000001,1.0,4.0,6.552841968657781
CHEMBL24075,COc1ccc2[nH]cc(CC3CCNCC3)c2c1,active,244.33799999999994,2.7186000000000012,2.0,2.0,6.0
CHEMBL133043,COc1ccc(C2(O)c3ccccc3C3=NCCCN32)cc1,active,294.354,2.3545000000000007,1.0,4.0,7.026872146400302
CHEMBL557413,Cl.c1ccc(Cn2cc(CCC3CCNCC3)c3ccccc32)cc1,active,354.925,5.043600000000003,1.0,2.0,6.0
CHEMBL25416,Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,active,293.208,3.472500000000001,2.0,1.0,6.0
CHEMBL543980,Cl.Cn1cc(CCC2CCNCC2)c2ccccc21,active,278.827,3.532300000000002,1.0,2.0,6.3979400086720375
CHEMBL1159866,O=C(O)/C=C/C(=O)O.Oc1ccc2[nH]cc(CCC3CCNCC3)c2c1,active,360.4100000000002,2.517500000000001,5.0,4.0,7.698970004336019
CHEMBL25428,Clc1ccc2[nH]cc(CCC3CCNCC3)c2c1,active,262.78399999999993,3.7535000000000016,2.0,1.0,6.657577319177793
CHEMBL24042,c1ccc2c(CCCC3CCNCC3)c[nH]c2c1,active,242.36599999999999,3.4902000000000015,2.0,1.0,7.221848749616356
CHEMBL1159870,Clc1ccc2[nH]cc(CC3CCNCC3)c2c1.O=C(O)/C=C/C(=O)O,active,364.82900000000006,3.0751999999999997,4.0,3.0,6.0
CHEMBL1159865,O=C(O)/C=C/C(=O)O.Oc1ccc2c(CCC3CCNCC3)c[nH]c2c1,active,360.4100000000001,2.5175,5.0,4.0,6.0
CHEMBL24783,c1ccc(-c2[nH]c3ccccc3c2CCC2CCNCC2)cc1,active,304.437,4.767100000000003,2.0,1.0,6.0
CHEMBL415,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,active,314.86,4.528400000000004,0.0,2.0,7.154901959985743
CHEMBL67203,c1ccc(CCCN2CCCC(CNCCOC(c3ccccc3)c3ccccc3)C2)cc1,active,442.6470000000001,5.727000000000006,1.0,3.0,6.086186147616283
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,active,291.347,1.8370999999999997,2.0,5.0,6.511449283499556
CHEMBL276520,c1ccc2c(CCC3CCNCC3)c[nH]c2c1,active,228.339,3.100100000000001,2.0,1.0,7.522878745280337
CHEMBL59,NCCc1ccc(O)c(O)c1,inactive,153.18099999999998,0.5989999999999998,3.0,3.0,4.522878745280337
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,active,298.7730000000001,2.9993000000000007,1.0,3.0,7.275724130399211
CHEMBL132955,OC1(c2ccc(Cl)cc2)c2cc(Cl)c(Cl)cc2C2=NCCN21,active,353.63600000000014,3.916000000000002,1.0,3.0,6.35261702988538
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,active,303.35800000000006,1.8677,0.0,5.0,6.488116639021126
CHEMBL278816,Cc1[nH]c2ccccc2c1CCC1CCNCC1,active,242.3659999999999,3.408520000000001,2.0,1.0,6.0
CHEMBL133070,COC(=O)C1C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,active,343.4230000000001,2.831100000000001,0.0,5.0,6.481486060122113
CHEMBL24731,COc1ccc2[nH]cc(CCC3CCNCC3)c2c1,active,258.3649999999999,3.1087000000000016,2.0,2.0,6.0
CHEMBL1159861,O=C(O)/C=C/C(=O)O.c1ccc(-n2cc(CCC3CCNCC3)c3ccccc32)cc1,active,420.50900000000024,4.274500000000003,3.0,4.0,6.0
